component,component_path,joint,kind,type,occurrence_one,occurrence_two,origin_x_mm,origin_y_mm,origin_z_mm,axis_x,axis_y,axis_z,min,max,value,units,min_deg,max_deg,value_deg,min_mm,max_mm,value_mm,is_suppressed,note
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 386,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:137,hip_pitch:hip_roll_R:1+CNC_leg05_x2_hip_roll_back_bearing_retainer:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 387,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:138,hip_pitch:hip_roll_R:1+CNC_leg05_x2_hip_roll_back_bearing_retainer:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 388,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:139,hip_pitch:hip_roll_R:1+CNC_leg05_x2_hip_roll_back_bearing_retainer:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 389,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:140,hip_pitch:hip_roll_R:1+CNC_leg05_x2_hip_roll_back_bearing_retainer:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 390,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:141,hip_pitch:hip_roll_R:1+CNC_leg03_x5_RS03_shaft_bearing_retainer:3,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 391,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:142,hip_pitch:hip_roll_R:1+CNC_leg03_x5_RS03_shaft_bearing_retainer:3,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 392,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:143,hip_pitch:hip_roll_R:1+CNC_leg03_x5_RS03_shaft_bearing_retainer:3,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 393,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:144,hip_pitch:hip_roll_R:1+CNC_leg03_x5_RS03_shaft_bearing_retainer:3,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 394,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:145,hip_pitch:hip_roll_R:1+CNC_leg03_x5_RS03_shaft_bearing_retainer:3,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 395,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:146,hip_pitch:hip_roll_R:1+CNC_leg03_x5_RS03_shaft_bearing_retainer:3,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 396,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:147,hip_pitch:hip_roll_R:1+CNC_leg03_x5_RS03_shaft_bearing_retainer:3,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 397,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:148,hip_pitch:hip_roll_R:1+CNC_leg03_x5_RS03_shaft_bearing_retainer:3,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 398,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:149,hip_pitch:hip_roll_L:1+CNC_leg03_x5_RS03_shaft_bearing_retainer:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 399,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:150,hip_pitch:hip_roll_L:1+CNC_leg03_x5_RS03_shaft_bearing_retainer:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 400,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:151,hip_pitch:hip_roll_L:1+CNC_leg03_x5_RS03_shaft_bearing_retainer:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 401,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:152,hip_pitch:hip_roll_L:1+CNC_leg03_x5_RS03_shaft_bearing_retainer:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 402,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:153,hip_pitch:hip_roll_L:1+CNC_leg03_x5_RS03_shaft_bearing_retainer:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 403,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:154,hip_pitch:hip_roll_L:1+CNC_leg03_x5_RS03_shaft_bearing_retainer:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 404,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:155,hip_pitch:hip_roll_L:1+CNC_leg03_x5_RS03_shaft_bearing_retainer:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 405,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:156,hip_pitch:hip_roll_L:1+CNC_leg03_x5_RS03_shaft_bearing_retainer:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 406,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:157,hip_roll:hip_yaw_R:1+CNC_leg07_x2_hip_roll_support_shaft:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 407,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:158,hip_roll:hip_yaw_R:1+CNC_leg07_x2_hip_roll_support_shaft:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 408,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:159,hip_roll:hip_yaw_R:1+CNC_leg07_x2_hip_roll_support_shaft:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 409,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:160,hip_roll:hip_yaw_R:1+CNC_leg07_x2_hip_roll_support_shaft:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 410,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:161,hip_roll:hip_yaw_R:1+CNC_leg06_x2_hip_roll_output_shaft:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 411,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:162,hip_roll:hip_yaw_R:1+CNC_leg06_x2_hip_roll_output_shaft:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 412,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:163,hip_roll:hip_yaw_R:1+CNC_leg06_x2_hip_roll_output_shaft:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 413,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:164,hip_roll:hip_yaw_R:1+CNC_leg06_x2_hip_roll_output_shaft:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 414,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:165,hip_roll:hip_yaw_L:1+CNC_leg07_x2_hip_roll_support_shaft:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 415,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:166,hip_roll:hip_yaw_L:1+CNC_leg07_x2_hip_roll_support_shaft:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 416,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:167,hip_roll:hip_yaw_L:1+CNC_leg07_x2_hip_roll_support_shaft:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 417,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:168,hip_roll:hip_yaw_L:1+CNC_leg07_x2_hip_roll_support_shaft:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 418,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:169,hip_roll:hip_yaw_L:1+CNC_leg06_x2_hip_roll_output_shaft:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 419,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:170,hip_roll:hip_yaw_L:1+CNC_leg06_x2_hip_roll_output_shaft:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 420,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:171,hip_roll:hip_yaw_L:1+CNC_leg06_x2_hip_roll_output_shaft:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 421,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:172,hip_roll:hip_yaw_L:1+CNC_leg06_x2_hip_roll_output_shaft:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 422,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:173,hip_center:1+CNC_leg01_x2_hip_center_back:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 423,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:174,hip_center:1+CNC_leg01_x2_hip_center_back:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 424,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:175,hip_center:1+CNC_leg01_x2_hip_center_back:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 425,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:176,hip_center:1+CNC_leg01_x2_hip_center_back:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 430,joint,rigid,CNC_leg01_x2_hip_center_back:2,hip_center:1+CNC_leg02_x7_RS03_shaft_coupler:1,18.0,-25.0,50.5,,,,,,,,,,,,,,False,
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 431,joint,rigid,Robstride 03 - no back cover:3+3_1_02_090_0073_ASM_1_1_ASM:1+1_1_31_QT-942_1:1,CNC_leg01_x2_hip_center_back:2,-18.751,-7.602,-48.904,,,,,,,,,,,,,,False,
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Revolute 433,joint,revolute,Robstride 03 - no back cover:6+3_1_02_090_0073_ASM_1_1_ASM:1+1_1_02_EB901-547_1_rotor:1,hip_roll:hip_yaw_L:1+CNC_leg06_x2_hip_roll_output_shaft:1,28.7,118.946,-47.052,1.0,0.0,0.0,,,5.759587,rad,,,330.0,,,,False,
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Revolute 434,joint,revolute,Robstride 03 - no back cover:5+3_1_02_090_0073_ASM_1_1_ASM:1+1_1_02_EB901-547_1_rotor:1,hip_roll:hip_yaw_R:1+CNC_leg06_x2_hip_roll_output_shaft:2,28.7,-134.129,-47.052,1.0,-0.0,-0.0,,,0.523599,rad,,,30.0,,,,False,
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 435,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:177,hip_roll:hip_yaw_L:1+CNC_leg06_x2_hip_roll_output_shaft:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 436,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:178,hip_roll:hip_yaw_L:1+CNC_leg06_x2_hip_roll_output_shaft:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 437,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:179,hip_roll:hip_yaw_L:1+CNC_leg06_x2_hip_roll_output_shaft:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 438,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:180,hip_roll:hip_yaw_L:1+CNC_leg06_x2_hip_roll_output_shaft:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 439,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:181,hip_roll:hip_yaw_L:1+CNC_leg06_x2_hip_roll_output_shaft:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 440,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:182,hip_roll:hip_yaw_L:1+CNC_leg06_x2_hip_roll_output_shaft:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 441,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:183,hip_roll:hip_yaw_R:1+CNC_leg06_x2_hip_roll_output_shaft:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 442,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:184,hip_roll:hip_yaw_R:1+CNC_leg06_x2_hip_roll_output_shaft:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 443,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:185,hip_roll:hip_yaw_R:1+CNC_leg06_x2_hip_roll_output_shaft:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 444,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:186,hip_roll:hip_yaw_R:1+CNC_leg06_x2_hip_roll_output_shaft:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 445,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:187,hip_roll:hip_yaw_R:1+CNC_leg06_x2_hip_roll_output_shaft:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 446,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:188,hip_roll:hip_yaw_R:1+CNC_leg06_x2_hip_roll_output_shaft:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 447,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:189,CNC_leg03_x5_RS03_shaft_bearing_retainer:4,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 448,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:190,CNC_leg03_x5_RS03_shaft_bearing_retainer:4,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 449,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:191,CNC_leg03_x5_RS03_shaft_bearing_retainer:4,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 450,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:192,CNC_leg03_x5_RS03_shaft_bearing_retainer:4,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 451,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:193,CNC_leg03_x5_RS03_shaft_bearing_retainer:4,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 452,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:194,CNC_leg03_x5_RS03_shaft_bearing_retainer:4,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 453,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:195,CNC_leg03_x5_RS03_shaft_bearing_retainer:4,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 454,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:196,CNC_leg03_x5_RS03_shaft_bearing_retainer:4,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 455,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:197,hip_center:1+CNC_leg01_x2_hip_center_back:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 456,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:198,hip_center:1+CNC_leg01_x2_hip_center_back:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 457,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:199,hip_center:1+CNC_leg01_x2_hip_center_back:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 458,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:200,hip_center:1+CNC_leg01_x2_hip_center_back:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 459,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:201,hip_center:1+CNC_leg01_x2_hip_center_back:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 460,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:202,hip_center:1+CNC_leg01_x2_hip_center_back:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 461,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:203,hip_center:1+CNC_leg01_x2_hip_center_back:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 462,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:204,hip_center:1+CNC_leg01_x2_hip_center_back:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 463,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:205,CNC_leg01_x2_hip_center_back:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 464,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:206,CNC_leg01_x2_hip_center_back:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 465,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:207,CNC_leg01_x2_hip_center_back:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 466,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:208,CNC_leg01_x2_hip_center_back:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 467,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:209,CNC_leg01_x2_hip_center_back:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 468,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:210,CNC_leg01_x2_hip_center_back:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 469,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:211,CNC_leg01_x2_hip_center_back:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 470,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M4x10 Steel 4.6 Plain:212,CNC_leg01_x2_hip_center_back:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 487,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain:1,hip_center:1+CNC_leg01_x2_hip_center_back:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 488,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain:2,hip_center:1+CNC_leg01_x2_hip_center_back:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 489,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain:3,hip_center:1+CNC_leg01_x2_hip_center_back:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 490,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain:4,hip_center:1+CNC_leg01_x2_hip_center_back:1,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 491,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain:5,CNC_leg01_x2_hip_center_back:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 492,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain:6,CNC_leg01_x2_hip_center_back:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 493,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain:7,CNC_leg01_x2_hip_center_back:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 494,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain:8,CNC_leg01_x2_hip_center_back:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 495,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain:9,hip_pitch:hip_roll_R:1+CNC_leg04_x2_hip_roll_front_bearing_retainer:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 496,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain:10,hip_pitch:hip_roll_R:1+CNC_leg04_x2_hip_roll_front_bearing_retainer:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 497,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain:11,hip_pitch:hip_roll_R:1+CNC_leg04_x2_hip_roll_front_bearing_retainer:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 498,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain:12,hip_pitch:hip_roll_R:1+CNC_leg04_x2_hip_roll_front_bearing_retainer:2,,,,,,,,,,,,,,,,,False,origin unreadable
v2.1_lower_body_latest,v2.1_lower_body_latest:1,Rigid 499,joint,rigid,Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain:13,hip_pitch:hip_roll_R:1+CNC_leg05_x2_hip_roll_back_bearing_retainer:2,,,,,,,,,,,,,,,,,False,origin unreadable
