part_id,rev,kind,format,path,bytes,sha256
CNC_arm03_shoulder_roll_output_shaft,01,step,STEP,files/step/CNC_arm03_shoulder_roll_output_shaft_rev01.step,723182,21b01e5ce81529f3c4976b8fbf2a5e80045eb738aa4d7410415fe8f2200a0ca8
CNC_arm04_shoulder_roll_support_shaft,01,step,STEP,files/step/CNC_arm04_shoulder_roll_support_shaft_rev01.step,235962,daf62b826c15371b516aa4f19b5ac47519c9e4a1d9f76e73e99c127ad0e3e3b9
CNC_arm07_elbow_front_bearing,01,step,STEP,files/step/CNC_arm07_elbow_front_bearing_rev01.step,780601,da681501e749cbf69522d65b8dceed8370e3cb6b261eafda85e907c8c759389e
CNC_arm08_elbow_back_bearing,01,step,STEP,files/step/CNC_arm08_elbow_back_bearing_rev01.step,577013,46827653bc121af965071b780068aeb10009b2d4516d2b2f54c876480784375d
CNC_arm09_elbow_output_shaft,01,step,STEP,files/step/CNC_arm09_elbow_output_shaft_rev01.step,568377,cebe9f499d8ae0d2de63b089a7c3b37e7fca2f5acb049f743b3c54672ee92098
CNC_arm10_r03_back_cover,01,step,STEP,files/step/CNC_arm10_r03_back_cover_rev01.step,1061789,34c602af239c4e2917d11e5793027d34de24f397497525c072ef3ef65e57d27d
CNC_arm13_RS05_shaft_coupler,01,step,STEP,files/step/CNC_arm13_RS05_shaft_coupler_rev01.step,636629,6c7d26859b6209ff89081dddaec4362f837cf316c0349e2311da48f563f81e40
CNC_body01_bottom_plate,01,step,STEP,files/step/CNC_body01_bottom_plate_rev01.step,3422437,e39a2381f09d0e4e7fb9085756c6494cfd3b9fb95d3a0b7962c3e947b367de88
CNC_body02_side_plate,01,step,STEP,files/step/CNC_body02_side_plate_rev01.step,3826746,48d6ad1de5b9fd5dc0ec07c3993051b8e0126d88785121f8b0f34b03d65130c7
CNC_body03_top_plate,01,step,STEP,files/step/CNC_body03_top_plate_rev01.step,5020982,e225eced34ed860a3b52cabe28b4582a82fbfcfb53655975ab2a2153f26c0269
CNC_body04_front_plate,01,step,STEP,files/step/CNC_body04_front_plate_rev01.step,1025322,58213fdfac6a7d063ae090056c3b9ca2777ffa7401f39c76b954a87d14880a92
CNC_leg01_hip_center_back,01,step,STEP,files/step/CNC_leg01_hip_center_back_rev01.step,1781115,fc2722d65e0b95088e2fd4dd515d8b9dfd0754ba1c8105fa118ce68e5df28b53
CNC_leg02_RS03_shaft_coupler,01,step,STEP,files/step/CNC_leg02_RS03_shaft_coupler_rev01.step,1016982,f6d8b76a01f7f0a6893631203cfc2d96d57f2c7b3c228c77341dcb93d9ba98d6
CNC_leg03_RS03_shaft_bearing_retainer,01,step,STEP,files/step/CNC_leg03_RS03_shaft_bearing_retainer_rev01.step,927103,9df02f20e5293d95bfc8713ea9ec809d01d0eab7f2fcacd2fb64beae01100037
CNC_leg04_hip_roll_front_bearing_retainer,01,step,STEP,files/step/CNC_leg04_hip_roll_front_bearing_retainer_rev01.step,522936,69cbd09b53ebd59d7b39841c34e216daa6945ad9f4f324c90692d0dbec81913c
CNC_leg05_hip_roll_back_bearing_retainer,01,step,STEP,files/step/CNC_leg05_hip_roll_back_bearing_retainer_rev01.step,1162153,97aed7466a7628b35ecc4a3263932d3dd62ccb901cd89ed9918fe22591b39d66
CNC_leg06_hip_roll_output_shaft,01,step,STEP,files/step/CNC_leg06_hip_roll_output_shaft_rev01.step,1106537,f5bdc064c2e3e807911d13d430314249cb3baadf692da5ee26333f9f95050ca1
CNC_leg07_hip_roll_support_shaft,01,step,STEP,files/step/CNC_leg07_hip_roll_support_shaft_rev01.step,1719727,2fe4cb716c6e124bbce27b8c3c7420fbef54be1ff9fb7b13e808f00d1b7629d9
CNC_leg08_knee_front_bearing_retainer,01,step,STEP,files/step/CNC_leg08_knee_front_bearing_retainer_rev01.step,749696,3d6bfd2e7922df6a28ab138c55c66685c3d840384e7f28f2ae3f83c400140f96
CNC_leg09_knee_motor_back_cover,01,step,STEP,files/step/CNC_leg09_knee_motor_back_cover_rev01.step,939024,85290c407310055a55058187c71679ec28ae874f67bfaac9ff906680248e549d
CNC_leg10_knee_output_shank,01,step,STEP,files/step/CNC_leg10_knee_output_shank_rev01.step,1840042,22db0f1233dc44e59ea0d4c93cb978d159f1c3c14dae2076a01132fc0ff39e5d
CNC_leg11_knee_support_shank,01,step,STEP,files/step/CNC_leg11_knee_support_shank_rev01.step,1073474,1fcb6955651b1e3593df8baadaa0a99e6935492922768df42b8ed3f072ea6ef4
CNC_leg12_lower_leg_bearing,01,step,STEP,files/step/CNC_leg12_lower_leg_bearing_rev01.step,63409,b051068cf6e2a1d5c9d246bd36cb52e95a116a4535240e470bd8cf49bd57eda6
CNC_leg13_ankle_pitch_front,01,step,STEP,files/step/CNC_leg13_ankle_pitch_front_rev01.step,1733917,c28afecb6472e39b9db51089904564cbe8914e0aa05fa1a9f35a5d67a9799130
CNC_leg14_ankle_pitch_back,01,step,STEP,files/step/CNC_leg14_ankle_pitch_back_rev01.step,2491878,ca0ed5f021e5a0546900d4b338bf32e5aa2766c9ee2d90693cea8d88e456d81b
CNC_leg15_RS06_shaft_bearing_retainer,01,step,STEP,files/step/CNC_leg15_RS06_shaft_bearing_retainer_rev01.step,447628,eeefc2e9c86cdf4e70a3cf1eb369652867c5b76f98b109f8b08435716b9bd4f7
CNC_leg16_ankle_roll_output_shaft,01,step,STEP,files/step/CNC_leg16_ankle_roll_output_shaft_rev01.step,1887933,7901bf9cacaf3b68ce3eebc72a2d8c41389944cf49e0559bf0f48cda4410682e
CNC_leg17_ankle_roll_support_shaft,01,step,STEP,files/step/CNC_leg17_ankle_roll_support_shaft_rev01.step,1344051,3dc9b8f8b105ad8b8cf7b876df1fc00f03edf7fa0c36ec2abbb91ada854f2763
CNC_leg18_foot_plate,01,step,STEP,files/step/CNC_leg18_foot_plate_rev01.step,1771965,c6efe64b3ad966f12068948fdbc9110aea4b46913298a70b1570dd9e24d59e64
3DP_arm05_RS02_shaft_bearing_retainer,01,print,STL,files/print/3DP_arm05_RS02_shaft_bearing_retainer_rev01.stl,983284,2208ba73f92f5c490a33534466579f3685ce97b50bcc3d02a86676c2aa0dbd1c
3DP_arm06_RS02_shaft_coupler,01,print,STL,files/print/3DP_arm06_RS02_shaft_coupler_rev01.stl,693884,784db465d90c3f4a57a7380ff8e83839958abec9daa515428589c9f473b8b05c
3DP_arm11_wrist_roll,01,print,STL,files/print/3DP_arm11_wrist_roll_rev01.stl,1814184,102cec666102ce6e88d88822f0f44a97697267a8f9e0b0636b42fa6d94438883
3DP_arm14_wrist_block,01,print,STL,files/print/3DP_arm14_wrist_block_rev01.stl,1079584,19e3733a9d511f272bb31cce614a445bb9fdfe0832bda11db2fa2f52c7b3b37e
3DP_arm15_end_effector_attachment,01,print,STL,files/print/3DP_arm15_end_effector_attachment_rev01.stl,677884,49079aa6104f128fef19a96b95d8622f8e9e598004470167478e972c0fcbcc6e
3DP_armP01_elbow_cover_a,01,print,STL,files/print/3DP_armP01_elbow_cover_a_rev01.stl,1759384,7b84a26e47d2f47e4a31829ff17a8bffaee3950c9498fe0fc060a2fd92f9370d
3DP_armP02_elbow_cover_b,01,print,STL,files/print/3DP_armP02_elbow_cover_b_rev01.stl,1759384,f41b1cdc0b99e886f101e05c66077d1225bdb4360c9fcc3567c507f87bdc54f4
3DP_armP03_shoulder_cover_a,01,print,STL,files/print/3DP_armP03_shoulder_cover_a_rev01.stl,198984,6eaeaec4755b796a66d1d408967ed3adfeff2ac502d56c155d10c51d66f1908b
3DP_armP04_shoulder_cover_b,01,print,STL,files/print/3DP_armP04_shoulder_cover_b_rev01.stl,198984,28fbbdebc84e974fbd6e8862d36d30692d02176a3b1d28f9334c424fb2529eec
3DP_armP05_shoulder_cover_c,01,print,STL,files/print/3DP_armP05_shoulder_cover_c_rev01.stl,168884,738c08446bc0bc16de1ca98600e13a4a201824add43c5eb869a88d3a3072319f
3DP_armP06_shoulder_cover_d,01,print,STL,files/print/3DP_armP06_shoulder_cover_d_rev01.stl,168884,be56f2fbe231e1984b8a5875452865fd9476dcb8cd0328413b09cfa636aabf63
3DP_armP07_shoulder_cover_e,01,print,STL,files/print/3DP_armP07_shoulder_cover_e_rev01.stl,1771684,88f1ac4cba46a055f40f864389585ff3d3ac373b64fdf7fd5c2d29f61099dc41
3DP_armP08_shoulder_cover_f,01,print,STL,files/print/3DP_armP08_shoulder_cover_f_rev01.stl,1771684,81ab8b94d19b73a35f32caf5ff668db68f254ac25fe7f10c977fed8e30ce1f44
3DP_armP09_shoulder_yaw_cover_a,01,print,STL,files/print/3DP_armP09_shoulder_yaw_cover_a_rev01.stl,2091284,4c3b247aa994da5eccd2e7c4f88ea6a710fd096e364ee58464d23cf4c0111971
3DP_armP10_shoulder_yaw_cover_b,01,print,STL,files/print/3DP_armP10_shoulder_yaw_cover_b_rev01.stl,2091284,3e8899056650519096a0ed9c8399bde54b74614f4e4c799d3aeb6ea2528662d2
3DP_armP11_shoulder_yaw_cover_c,01,print,STL,files/print/3DP_armP11_shoulder_yaw_cover_c_rev01.stl,182884,d642104c430664605fb155e806d296f5301d8b211da23e22ddad85e6d13a4bbc
