fusion_name,file_name,kind,qty,bodies,children,material,mass_g,bbox_x_mm,bbox_y_mm,bbox_z_mm,linked,out_of_date,path,color_rgb,appearance,com_x_mm,com_y_mm,com_z_mm,ixx,iyy,izz,ixy,iyz,ixz
1_1_06_EB463-507^FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE,1_1_06_EB463-507_FL46BLW10-48V-5N.m-DE_2__FL46BLW10-48V-5N.m-DE,part,2,1,0,Aluminum A356 T6,21.8,46.0,46.0,35.1,False,,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+wrist_3-left:1+robstride05:1+FL46BLW10-48V-5N.m-DE(2)^FL46BLW10-48V-5N.m-DE:1+1_1_06_EB463-507^FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE:1,"255,255,255","Opaque(255,255,255)",0.397,-0.004,4.762,7829.1,7648.9,10271.0,-0.2,1.5,52.4
1_1_06_EB463-509^FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE,1_1_06_EB463-509_FL46BLW10-48V-5N.m-DE_2__FL46BLW10-48V-5N.m-DE,part,2,1,0,Aluminum A356 T6,6.3,46.0,46.0,4.7,False,,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+wrist_3-left:1+robstride05:1+FL46BLW10-48V-5N.m-DE(2)^FL46BLW10-48V-5N.m-DE:1+1_1_06_EB463-509^FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE:1,"255,255,255","Opaque(255,255,255)",0.14,0.01,1.113,1008.5,1018.3,1996.1,26.4,-0.2,-0.9
1_1_31_EB463-510^FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE,1_1_31_EB463-510_FL46BLW10-48V-5N.m-DE_2__FL46BLW10-48V-5N.m-DE,part,2,1,0,Aluminum A356 T6,3.6,46.0,46.0,2.5,False,,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+wrist_3-left:1+robstride05:1+FL46BLW10-48V-5N.m-DE(2)^FL46BLW10-48V-5N.m-DE:1+1_1_31_EB463-510^FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE:1,"255,255,255","Opaque(255,255,255)",-0.0,0.0,1.277,760.4,760.4,1505.8,-0.0,-0.0,0.0
1_2_05_000438^FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE,1_2_05_000438_FL46BLW10-48V-5N.m-DE_2__FL46BLW10-48V-5N.m-DE,part,16,1,0,Steel,0.1,4.1,3.8,3.8,False,,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+wrist_3-left:1+robstride05:1+FL46BLW10-48V-5N.m-DE(2)^FL46BLW10-48V-5N.m-DE:1+1_2_05_000438^FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE:1,"255,255,255","Opaque(255,255,255)",-0.488,0.001,0.0,0.1,0.2,0.2,-0.0,-0.0,-0.0
1_2_05_000555^FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE,1_2_05_000555_FL46BLW10-48V-5N.m-DE_2__FL46BLW10-48V-5N.m-DE,part,16,1,0,Steel,0.1,6.1,3.8,3.8,False,,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+wrist_3-left:1+robstride05:1+FL46BLW10-48V-5N.m-DE(2)^FL46BLW10-48V-5N.m-DE:1+1_2_05_000555^FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE:1,"255,255,255","Opaque(255,255,255)",-0.592,0.001,-0.0,0.1,0.6,0.6,-0.0,-0.0,-0.0
1_2_05_000608^FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE,1_2_05_000608_FL46BLW10-48V-5N.m-DE_2__FL46BLW10-48V-5N.m-DE,part,8,1,0,Steel,0.4,10.2,4.7,4.7,False,,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+wrist_3-left:1+robstride05:1+FL46BLW10-48V-5N.m-DE(2)^FL46BLW10-48V-5N.m-DE:1+1_2_05_000608^FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE:1,"255,255,255","Opaque(255,255,255)",-1.722,0.0,-0.0,0.4,4.9,4.9,-0.0,0.0,-0.0
1_2_05_020051^FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE,1_2_05_020051_FL46BLW10-48V-5N.m-DE_2__FL46BLW10-48V-5N.m-DE,part,6,2,0,Steel,0.2,4.0,4.0,6.6,False,,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+wrist_3-left:1+robstride05:1+FL46BLW10-48V-5N.m-DE(2)^FL46BLW10-48V-5N.m-DE:1+1_2_05_020051^FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE:1,"255,255,255","Opaque(255,255,255)",-0.0,0.0,-3.983,4.7,4.7,0.3,-0.0,0.0,-0.0
1_2_16_001425^FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE,1_2_16_001425_FL46BLW10-48V-5N.m-DE_2__FL46BLW10-48V-5N.m-DE,part,2,1,0,FR4,3.9,40.7,40.6,6.8,False,,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+wrist_3-left:1+robstride05:1+FL46BLW10-48V-5N.m-DE(2)^FL46BLW10-48V-5N.m-DE:1+1_2_16_001425^FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE:1,"255,255,255","Opaque(255,255,255)",19.711,29.194,-1.37,3736.4,1927.6,5631.1,-2162.8,179.1,81.4
Robstride 03 - full,Robstride_03_-_full,subassembly,1,0,2,,909.0,99.6,98.6,56.6,False,,000_left_arm_long_wrist_latest:1+Robstride 03 - full:1,,,0.102,-0.03,-20.905,1024933.6,1009853.8,931077.4,-184.3,-1172.6,2192.4
3_1_02_090_0073_ASM_1_1_ASM,3_1_02_090_0073_ASM_1_1_ASM~2,subassembly,1,0,12,,884.2,99.6,55.4,98.6,False,,000_left_arm_long_wrist_latest:1+Robstride 03 - full:1+3_1_02_090_0073_ASM_1_1_ASM:1,,,-0.112,22.685,0.031,1041492.7,895192.4,1036828.5,2721.7,-1238.4,-175.3
