file,fusion_name,path,depth,qty,children,mass_g
Type_C1.step,Type_C1,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+Type_C1:1,2,2,1,2.2
U1.step,U1,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+U1:1,2,2,1,0.1
U2.step,U2,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+U2:1,2,2,1,0.4
C8.step,C8,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+C8:1,2,2,1,0.0
C9.step,C9,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+C9:1,2,2,1,0.0
C10.step,C10,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+C10:1,2,2,1,0.0
M1.step,M1,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+M1:1,2,2,1,0.3
Q1.step,Q1,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+Q1:1,2,2,1,0.1
R4.step,R4,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+R4:1,2,2,1,0.0
R5.step,R5,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+R5:1,2,2,1,0.0
R6.step,R6,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+R6:1,2,2,1,0.0
R7.step,R7,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+R7:1,2,2,1,0.0
R8.step,R8,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+R8:1,2,2,1,0.0
U3.step,U3,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+U3:1,2,2,6,0.0
U4.step,U4,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+U4:1,2,2,6,0.0
D1.step,D1,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+D1:1,2,2,1,0.0
H2.step,H2,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+H2:1,2,2,6,0.7
R1.step,R1,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+R1:1,2,2,1,0.0
H4.step,H4,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+H4:1,2,2,9,1.0
D3.step,D3,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+D3:1,2,2,1,0.0
D4.step,D4,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+D4:1,2,2,1,0.0
LED1.step,LED1,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+LED1:1,2,2,1,0.0
R9.step,R9,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+R9:1,2,2,1,0.0
wareshare_st_servo_controller.step,wareshare_st_servo_controller v7,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1,1,2,38,41.9
base.step,base,dovetail_umi_gripper:1+base:1,1,2,1,76.7
double_helix_rack_30teeth_6mm.step,double_helix_rack_30teeth_6mm v2,dovetail_umi_gripper:1+double_helix_rack_30teeth_6mm v2:1,1,2,1,0.0
dovetail_umi_gripper.step,dovetail_umi_gripper,dovetail_umi_gripper:1,0,2,20,351.1
shoulder_pitch_shoulder_roll.step,shoulder_pitch:shoulder_roll,000_left_arm_long_wrist_latest:1+shoulder_pitch:shoulder_roll:2,1,1,3,175.7
robstride_02-No_back_cover.step,robstride_02-No_back_cover,000_left_arm_long_wrist_latest:1+shoulder_roll:shoulder_yaw:2+robstride_02-No_back_cover:1,2,3,2,394.2
shoulder_roll_shoulder_yaw.step,shoulder_roll:shoulder_yaw,000_left_arm_long_wrist_latest:1+shoulder_roll:shoulder_yaw:2,1,1,5,580.8
3DP_arm06_x4_RS02_shaft_coupler.step,3DP_arm06_x4_RS02_shaft_coupler,000_left_arm_long_wrist_latest:1+shoulder_yaw:elbow:2+3DP_arm06_x4_RS02_shaft_coupler:1,2,1,6,67.5
