Type,Item Description,Vendor Link,Alternative Link,Unit Price,QTY (2XC),Total Price,QTY (2XM),Total Price,Note
,Jumper Wire,https://www.amazon.com/EDGELEC-Breadboard-Optional-Assorted-Multicolored/dp/B07GD2BWPY/ref=sr_1_1_sspa?crid=1RYVGD1NRVV4P&dib=eyJ2IjoiMSJ9.I3nSspk5onl8Jong0G-0EdlCOAcGGAhXlYrx1LZqfMIcXJU8J0Uc7OTwu9IP6xCFgwYQcGn_m9BB44wYC2uzwdMJ0IBM3Kmg1LGYYRFzuzSulm8aZVuDw6ximYGTLDUGdFW1ck6P1DY98KwbzuDLWsMk5FMFBpK1HHiwUlMf7pn7By2a2OWD4uYZh5WYVPDFXCg25BudygZvNhqKuBuoDeYlyXyDBRPWctpKCqDG4Aeda6Vp8M3xYbHGdGLuDMiNNNF2QfaUQvupS5evFbGRWGTXvhRvlTYD4LZG_AcGh20.kNK6ui74Y_0AIL8537cO_3tSd4YwpnxiVf78Ac_ESB0&dib_tag=se&keywords=jumper%2Bwire&qid=1737933139&s=industrial&sprefix=jumper%2Bwire%2Cindustrial%2C170&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,,$6.98,1,$6.98,,,
,JST EH Cable,https://www.digikey.com/short/523wz1nj,,$0.38,10,$3.82,,,
,JST EH Housing,https://www.digikey.com/short/zqh51b3r,,$0.05,25,$1.17,,,
,5 Pairs of XT30 Male and Female Plugs,https://www.amazon.com/dp/B09LYHHS9J?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,,$9.99,1,$9.99,,,
,XT30 to XT60 Male Female 4 pcs,https://www.amazon.com/dp/B07XDTJJLV?ref=ppx_yo2ov_dt_b_fed_asin_title,,$8.99,1,$8.99,,,
,Barrel Jack Connector,https://www.amazon.com/Terminal-5-5mm%C3%972-5mm-Connector-Surveillance-Repairs/dp/B0FD9BK96H/ref=sr_1_3?crid=2F60NRDVLQPN7&dib=eyJ2IjoiMSJ9.5-G1RnXb87venjWf1jH2ygWZ4tvB5PdrSL1sZxrN_hDwu2hs_dU5f8KJHmaYSy3I2IXRdAn4B5ooT1mlo_f10GgDqXtAaUF6wR2L6WyrKEeRkr_Aty5mDEuctcO3DF67v6KQEoaUOnA6C4trr8NaRv6-ej-v7n5RLCqsb3TTLhyurho1CURIjAmWk4_7vRCj4Y5HfneOxgu8rN6OJGvvlOY53k4IR6QTTd6qeyDHTvw.NXN3J4bQA4db7vwxH7e0T3X0eR2TacAX_gzFS37jvYc&dib_tag=se&keywords=barrel%2Bjack%2B5.5mm%2F2.5mm%2B(aka%2BDC5525)&qid=1772521825&sprefix=barrel%2Bjack%2B5.5mm%2F2.5mm%2Baka%2Bdc5525%2B%2Caps%2C197&sr=8-3&th=1,,$9.49,1,$9.49,,,
,Rocker Switch 5 pcs,https://www.amazon.com/dp/B0C53HD8J7?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,,$5.99,1,$5.99,,,
,2000 mAh Lipo Battery,https://www.amazon.com/dp/B0912XDRZJ?ref=nav_signin&ref_=cm_sw_r_cso_cp_apin_dp_K0YA12RK2VJD3VX9DEYQ_1&social_share=cm_sw_r_cso_cp_apin_dp_K0YA12RK2VJD3VX9DEYQ_1&starsLeft=1&skipTwisterOG=1&th=1,,$49.99,1,$49.99,,,
,Lipo Battery Voltage Tester,https://www.amazon.com/dp/B07DC3LH9C?ref=ppx_yo2ov_dt_b_fed_asin_title,,$12.95,1,$12.95,,,
,Lipo Battery Balance Charger,https://www.amazon.com/dp/B09XC91BWJ?ref=ppx_yo2ov_dt_b_fed_asin_title,,$31.99,1,$31.99,,,
,14 AWG Power Extension Cable,https://www.amazon.com/Electrical-Conductor-Flexible-Parallel-Extension/dp/B088RDY284/ref=sr_1_4?crid=2SOVP35WN176N&dib=eyJ2IjoiMSJ9.rppuY68xdvrdrwBSW6ZDhgt3ycxmtZugSrSZ5mKwunA-xdD8tLj1Bni16MADIRdcbx8VsNOFDZzLm3j6-Iu60RcNV_P9kVL0fH7I3DrClzb94tNGcjnnQ832wjXC0aJ-qn35ZhtS-EyIusXxESXZR76l_t0OTtSmeM7WRFRiC_uyCh5xgyd1Ug9Zot1Xz-ha4vu6se5h69qW5T0slAjoHZfMLDUo8dhUsRTACv0eXGLMarSRxiV2pNLVJGa-Xohsa4AJJYFppJOXr3la3bM52_xAFM7rk1O66Rh5lp9Rava-qQXUTIEE3JFSWfltvq7bk2aN2thwyTkQzLSOgYL7vJAc6BawkFhj2Zhje6Xcbks.Yc3mgM3EtdHqYM5pnWNfMOObBFWlDdpFtZsrUYJtA7g&dib_tag=se&keywords=100FT%2B14%2F2%2BGauge%2BRed%2BBlack%2BCable%2BHookup%2BElectrical%2BWire%2C%2B14AWG%2B2%2BConductor&qid=1738573061&s=industrial&sprefix=100ft%2B14%2F2%2Bgauge%2Bred%2Bblack%2Bcable%2Bhookup%2Belectrical%2Bwire%2C%2B14awg%2B2%2Bconductor%2Cindustrial%2C143&sr=1-4&th=1,,$17.49,1,$17.49,,,
Materials,PLA-CF 1KG,https://us.store.bambulab.com/collections/carbon-fiber/products/pla-cf?variant=41003202248840,,$34.99,2,$69.98,,,
,PLA 1KG,https://us.store.bambulab.com/products/pla-basic-filament,,$19.99,1,$19.99,,,
,,,,,,"$5,727.94","$7,293.56",,
,,,,,,2XC,2XM,,
Tools,,,,,,,,,
3D-Printing,Bambu Lab X1-Carbon Combo 3D Printer,https://us.store.bambulab.com/products/x1-carbon-combo,,"$1,449.00",1,"$1,449.00",,,
,Bambu Smooth PEI Plate,https://us.store.bambulab.com/products/bambu-smooth-pei-plate,,$37.99,1,$37.99,,,
,Liquid Glue for Build Plate,https://us.store.bambulab.com/products/liquid-glue-for-build-plate?_pos=2&_sid=7c0e9c004&_ss=r,,$16.99,1,$16.99,,,
,Anti-vibration Foot,https://us.store.bambulab.com/products/anti-vibration-feet-for-p1p,,$10.99,1,$10.99,,,
Power,30V 10A Power Supply,https://www.amazon.com/Programmable-Precision-Multiple-Protection-Software/dp/B0928LX2D1/ref=sr_1_28?crid=1VEM9Z6VQ74GV&dib=eyJ2IjoiMSJ9.GSFAAMOvhrCf3MbGOtDPyoYir5gEoj1BaGGfeOYL_ULGjHj071QN20LucGBJIEps.-5hNfIryb7Lckm_QEGRcdGCaQ8BLc-fIKNd040I0bzI&dib_tag=se&keywords=digital%2Bdc%2Bpower%2Bsupply&qid=1727842316&s=industrial&sprefix=digital%2Bdc%2Bpower%2Bsupply%2B%2Cindustrial%2C135&sr=1-28&th=1,,$119.99,1,$119.99,,,
,Banana Plug Cables,https://www.amazon.com/Sumnacon-Multimeter-Crocodile-Alligator-Stackable/dp/B071SL6PQS/ref=pd_bxgy_img_d_sccl_1/147-9037378-6374821?pd_rd_w=MjarT&content-id=amzn1.sym.839d7715-b862-4989-8f65-c6f9502d15f9&pf_rd_p=839d7715-b862-4989-8f65-c6f9502d15f9&pf_rd_r=0SRB716VNAMCEJWJHTRA&pd_rd_wg=pi1IR&pd_rd_r=0218e540-c617-4a6c-ad45-4a9ba90a469a&pd_rd_i=B071SL6PQS&th=1,,$9.99,1,$9.99,,,
