fusion_name,file_name,kind,qty,bodies,children,material,mass_g,bbox_x_mm,bbox_y_mm,bbox_z_mm,linked,out_of_date,path
WJ-BB00-0235_HORN_22,WJ-BB00-0235_HORN_22,part,2,1,0,0.057g/mm3,2.6,16.0,4.0,16.0,False,,dovetail_umi_gripper:1+FEETECH_HL_3915_Servo_Motor:1+HL-3608_ASM_121_ASM:1+WJ-BB00-0235_HORN_22:1
apriltag,apriltag,part,16,1,0,"Plastic, Opaque White",0.8,20.0,20.0,2.0,False,,dovetail_umi_gripper:1+apriltag:1
base,base,subassembly,2,1,1,,76.7,48.8,129.0,48.0,False,,dovetail_umi_gripper:1+base:1
apriltag_holder,apriltag_holder,part,4,1,0,rail,3.3,35.0,49.0,3.0,False,,dovetail_umi_gripper:1+base:1+apriltag_holder:1
buck_converter_48_to_12,buck_converter_48_to_12,part,2,1,0,Steel,11.0,43.0,20.5,8.0,True,,dovetail_umi_gripper:1+buck_converter_48_to_12:1
custom_umi_gripper v6,custom_umi_gripper,part,4,1,0,rail,30.2,25.8,84.3,40.0,False,,dovetail_umi_gripper:1+custom_umi_gripper v6:1
double_helix_pinion_16teeth_6mm,double_helix_pinion_16teeth_6mm,subassembly,2,0,1,,1.3,18.0,18.0,9.5,True,,dovetail_umi_gripper:1+double_helix_pinion_16teeth_6mm:1
Component9,Component9,part,2,1,0,Nylon 12 (with Formlabs Fuse 1 3D Printer),1.3,18.0,18.0,9.5,False,,dovetail_umi_gripper:1+double_helix_pinion_16teeth_6mm:1+Component9:1
double_helix_rack_30teeth_6mm v2,double_helix_rack_30teeth_6mm,subassembly,2,0,1,,0.0,0.0,0.0,0.0,False,,dovetail_umi_gripper:1+double_helix_rack_30teeth_6mm v2:1
Component115,Component115,empty,2,0,0,,0.0,0.0,0.0,0.0,False,,dovetail_umi_gripper:1+double_helix_rack_30teeth_6mm v2:1+Component115:1
rail,rail,part,4,1,0,rail,44.9,67.7,129.0,40.0,False,,dovetail_umi_gripper:1+rail:1
wareshare_st_servo_controller v7,wareshare_st_servo_controller,subassembly,2,0,38,,41.9,42.1,58.9,14.6,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1
Board,Board,part,2,1,0,servo_board,21.4,42.0,33.0,1.6,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+Board:1
C10,C10,subassembly,2,0,1,,0.0,0.9,1.6,0.9,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+C10:1
C1,C1,subassembly,2,0,1,,0.0,0.8,1.6,0.3,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+C1:1
User_Library-0603_SMD_Capacitor,User_Library-0603_SMD_Capacitor,part,14,1,0,servo_board,0.0,1.6,0.3,0.8,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+C1:1+User_Library-0603_SMD_Capacitor:1
C2,C2,subassembly,2,0,1,,0.0,1.6,0.8,0.3,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+C2:1
C3,C3,subassembly,2,0,1,,0.0,1.6,0.8,0.3,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+C3:1
